x,y
259,78
259,77
258,76
258,75
257,75
251,69
251,68
250,67
249,67
248,66
248,64
250,62
253,62
255,60
255,58
257,56
257,51
258,50
258,46
259,45
259,42
258,41
258,40
257,39
257,38
254,35
251,35
250,34
249,34
247,32
247,31
245,29
241,29
240,28
237,28
236,27
237,26
238,26
239,25
240,25
241,24
238,24
236,22
236,20
235,19
235,18
234,17
234,16
233,15
233,14
232,14
231,13
